unit_id,corp,etapa,etaj,etaj_eticheta,tip_apartament,nr_camere,su_utila,su_balcon,su_curte,orientare,pret_eur,pret_mp_eur,status,boxa_disponibila,parcare_subterana,cota_teren
C1-P-01,C1,I,0,Parter,1A,1,38.85,6.96,0.0,V,56500,1454.0,vandut,nu,da,85.1
C1-P-02,C1,I,0,Parter,2A,2,53.87,0.0,22.0,E,78500,1457.0,disponibil,nu,da,85.1
C1-P-03,C1,I,0,Parter,1A,1,38.85,0.0,16.75,V,56500,1454.0,disponibil,nu,da,85.1
C1-P-04,C1,I,0,Parter,2B,2,60.61,10.86,0.0,N,88500,1460.0,disponibil,nu,da,85.1
C1-P-05,C1,I,0,Parter,3B,3,80.81,14.48,0.0,S,120500,1491.0,disponibil,nu,da,85.1
C1-P-06,C1,I,0,Parter,2A,2,53.87,0.0,22.45,E,78500,1457.0,vandut,nu,da,85.1
C1-P-07,C1,I,0,Parter,2A,2,53.87,0.0,27.8,SE,80500,1494.0,disponibil,nu,da,85.1
C1-P-08,C1,I,0,Parter,2B,2,60.61,10.86,0.0,SV,90500,1493.0,disponibil,nu,da,85.1
C1-P-09,C1,I,0,Parter,2A,2,53.87,0.0,26.72,NV,78500,1457.0,disponibil,nu,da,85.1
C1-P-10,C1,I,0,Parter,2B,2,60.61,0.0,32.78,S,90500,1493.0,disponibil,nu,da,85.1
C1-P-11,C1,I,0,Parter,2B,2,60.61,0.0,26.01,SE,90500,1493.0,disponibil,nu,da,85.1
C1-E1-01,C1,I,1,Etaj 1,3B,3,80.81,14.48,0.0,V,119500,1479.0,disponibil,nu,da,85.1
C1-E1-02,C1,I,1,Etaj 1,2A,2,53.87,9.65,0.0,N,79500,1476.0,vandut,nu,da,85.1
C1-E1-03,C1,I,1,Etaj 1,3A,3,73.55,13.18,0.0,N,109000,1482.0,vandut,nu,da,85.1
C1-E1-04,C1,I,1,Etaj 1,2B,2,60.61,10.86,0.0,S,92000,1518.0,disponibil,nu,da,85.1
C1-E1-05,C1,I,1,Etaj 1,3A,3,73.55,13.18,0.0,NE,109000,1482.0,disponibil,nu,da,85.1
C1-E1-06,C1,I,1,Etaj 1,2B,2,60.61,10.86,0.0,E,89500,1477.0,vandut,nu,da,85.1
C1-E1-07,C1,I,1,Etaj 1,2A,2,53.87,9.65,0.0,N,79500,1476.0,disponibil,nu,da,85.1
C1-E1-08,C1,I,1,Etaj 1,2A,2,53.87,9.65,0.0,SV,81500,1513.0,disponibil,nu,da,85.1
C1-E1-09,C1,I,1,Etaj 1,2A,2,53.87,9.65,0.0,N,79500,1476.0,disponibil,nu,da,85.1
C1-E1-10,C1,I,1,Etaj 1,2A,2,53.87,9.65,0.0,SE,81500,1513.0,disponibil,nu,da,85.1
C1-E1-11,C1,I,1,Etaj 1,1A,1,38.85,6.96,0.0,S,59000,1519.0,disponibil,nu,da,85.1
C1-E2-01,C1,I,2,Etaj 2,2B,2,60.61,10.86,0.0,NE,91000,1501.0,vandut,nu,da,85.1
C1-E2-02,C1,I,2,Etaj 2,2B,2,60.61,10.86,0.0,N,91000,1501.0,disponibil,nu,da,85.1
C1-E2-03,C1,I,2,Etaj 2,1A,1,38.85,6.96,0.0,N,58500,1506.0,disponibil,nu,da,85.1
C1-E2-04,C1,I,2,Etaj 2,1A,1,38.85,6.96,0.0,NV,58500,1506.0,disponibil,nu,da,85.1
C1-E2-05,C1,I,2,Etaj 2,1A,1,38.85,6.96,0.0,NV,58500,1506.0,disponibil,nu,da,85.1
C1-E2-06,C1,I,2,Etaj 2,3B,3,80.81,14.48,0.0,V,121500,1504.0,disponibil,nu,da,85.1
C1-E2-07,C1,I,2,Etaj 2,1A,1,38.85,6.96,0.0,V,58500,1506.0,disponibil,nu,da,85.1
C1-E2-08,C1,I,2,Etaj 2,3A,3,73.55,13.18,0.0,NV,110500,1502.0,vandut,nu,da,85.1
C1-E2-09,C1,I,2,Etaj 2,2A,2,53.87,9.65,0.0,NV,81000,1504.0,vandut,nu,da,85.1
C1-E2-10,C1,I,2,Etaj 2,2A,2,53.87,9.65,0.0,SV,82500,1531.0,rezervat,nu,da,85.1
C1-E2-11,C1,I,2,Etaj 2,2A,2,53.87,9.65,0.0,S,82500,1531.0,disponibil,nu,da,85.1
C1-E3-01,C1,I,3,Etaj 3,2B,2,60.61,10.86,0.0,NE,92500,1526.0,disponibil,nu,da,85.1
C1-E3-02,C1,I,3,Etaj 3,2A,2,53.87,9.65,0.0,E,82000,1522.0,disponibil,nu,da,85.1
C1-E3-03,C1,I,3,Etaj 3,2A,2,53.87,9.65,0.0,NE,82000,1522.0,vandut,nu,da,85.1
C1-E3-04,C1,I,3,Etaj 3,2B,2,60.61,10.86,0.0,NE,92500,1526.0,rezervat,nu,da,85.1
C1-E3-05,C1,I,3,Etaj 3,1A,1,38.85,6.96,0.0,V,59000,1519.0,disponibil,nu,da,85.1
C1-E3-06,C1,I,3,Etaj 3,3A,3,73.55,13.18,0.0,S,114500,1557.0,disponibil,nu,da,85.1
C1-E3-07,C1,I,3,Etaj 3,3A,3,73.55,13.18,0.0,SV,114500,1557.0,vandut,nu,da,85.1
C1-E3-08,C1,I,3,Etaj 3,1A,1,38.85,6.96,0.0,N,59000,1519.0,disponibil,nu,da,85.1
C1-E3-09,C1,I,3,Etaj 3,3A,3,73.55,13.18,0.0,N,112000,1523.0,vandut,nu,da,85.1
C1-E3-10,C1,I,3,Etaj 3,2B,2,60.61,10.86,0.0,SE,94500,1559.0,vandut,nu,da,85.1
C1-E3-11,C1,I,3,Etaj 3,3B,3,80.81,14.48,0.0,SV,126000,1559.0,disponibil,nu,da,85.1
C1-E3-12,C1,I,3,Etaj 3,1A,1,38.85,6.96,0.0,S,60500,1557.0,disponibil,nu,da,85.1
C2-P-01,C2,I,0,Parter,3A,3,73.55,0.0,32.88,V,106500,1448.0,disponibil,nu,da,82.1
C2-P-02,C2,I,0,Parter,2A,2,53.87,10.25,0.0,NV,78000,1448.0,disponibil,nu,da,82.1
C2-P-03,C2,I,0,Parter,3A,3,73.55,0.0,29.42,NV,106500,1448.0,vandut,nu,da,82.1
C2-P-04,C2,I,0,Parter,2A,2,53.87,10.25,0.0,N,78000,1448.0,vandut,nu,da,82.1
C2-P-05,C2,I,0,Parter,2A,2,53.87,10.25,0.0,V,78000,1448.0,disponibil,nu,da,82.1
C2-P-06,C2,I,0,Parter,3B,3,80.81,0.0,31.55,SE,120000,1485.0,rezervat,nu,da,82.1
C2-P-07,C2,I,0,Parter,2A,2,53.87,0.0,18.89,V,78000,1448.0,disponibil,nu,da,82.1
C2-P-08,C2,I,0,Parter,2B,2,60.61,0.0,23.08,SV,90000,1485.0,vandut,nu,da,82.1
C2-P-09,C2,I,0,Parter,1A,1,38.85,0.0,21.69,NE,56500,1454.0,disponibil,nu,da,82.1
C2-P-10,C2,I,0,Parter,2B,2,60.61,0.0,36.95,S,90000,1485.0,vandut,nu,da,82.1
C2-P-11,C2,I,0,Parter,2B,2,60.61,0.0,35.26,NE,88000,1452.0,disponibil,nu,da,82.1
C2-E1-01,C2,I,1,Etaj 1,2B,2,60.61,11.53,0.0,N,89000,1468.0,rezervat,nu,da,82.1
C2-E1-02,C2,I,1,Etaj 1,2B,2,60.61,11.53,0.0,E,89000,1468.0,vandut,nu,da,82.1
C2-E1-03,C2,I,1,Etaj 1,2A,2,53.87,10.25,0.0,E,79500,1476.0,disponibil,nu,da,82.1
C2-E1-04,C2,I,1,Etaj 1,3B,3,80.81,15.37,0.0,V,119000,1473.0,disponibil,nu,da,82.1
C2-E1-05,C2,I,1,Etaj 1,1A,1,38.85,7.39,0.0,S,58500,1506.0,disponibil,nu,da,82.1
C2-E1-06,C2,I,1,Etaj 1,1A,1,38.85,7.39,0.0,NV,57000,1467.0,vandut,nu,da,82.1
C2-E1-07,C2,I,1,Etaj 1,3A,3,73.55,13.99,0.0,NE,108500,1475.0,vandut,nu,da,82.1
C2-E1-08,C2,I,1,Etaj 1,1A,1,38.85,7.39,0.0,SV,58500,1506.0,disponibil,nu,da,82.1
C2-E1-09,C2,I,1,Etaj 1,2A,2,53.87,10.25,0.0,V,79500,1476.0,disponibil,nu,da,82.1
C2-E1-10,C2,I,1,Etaj 1,1A,1,38.85,7.39,0.0,NV,57000,1467.0,vandut,nu,da,82.1
C2-E1-11,C2,I,1,Etaj 1,3B,3,80.81,15.37,0.0,V,119000,1473.0,disponibil,nu,da,82.1
C2-E2-01,C2,I,2,Etaj 2,2A,2,53.87,10.25,0.0,SE,82500,1531.0,disponibil,nu,da,82.1
C2-E2-02,C2,I,2,Etaj 2,1A,1,38.85,7.39,0.0,SV,59500,1532.0,disponibil,nu,da,82.1
C2-E2-03,C2,I,2,Etaj 2,2B,2,60.61,11.53,0.0,N,90500,1493.0,vandut,nu,da,82.1
C2-E2-04,C2,I,2,Etaj 2,1A,1,38.85,7.39,0.0,S,59500,1532.0,disponibil,nu,da,82.1
C2-E2-05,C2,I,2,Etaj 2,2B,2,60.61,11.53,0.0,S,92500,1526.0,disponibil,nu,da,82.1
